"","id","X","doses","totMem","immRate","year","type","gradeRange","pubPriv","team2014","p.vfc","frLunch13","school","cfrr","cfrr_grade-1","cfrr_grade0","cfrr_grade1","cfrr_grade2","cfrr_grade3","cfrr_grade4","cfrr_grade5","cfrr_grade6","cfrr_grade7","cfrr_grade8","cfrr_grade9","cfrr_grade10","cfrr_grade11","cfrr_grade12","immRate_grade-1","immRate_grade0","immRate_grade1","immRate_grade2","immRate_grade3","immRate_grade4","immRate_grade5","immRate_grade6","immRate_grade7","immRate_grade8","immRate_grade9","immRate_grade10","immRate_grade11","immRate_grade12","cfrr_brad"
"72",-3,72,16,40,40,2010,"multi","k-12","priv",NA,57.1428571428571,NA,"CHRISTIAN LIFE ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",-4,73,31,149,20.8053691275168,2010,"multi","prek-12","priv",NA,20.8333333333333,NA,"COUNTRYSIDE BAPTIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",21,74,149,321,46.417445482866,2010,"elem","elem","pub",1,87.218045112782,96.6,"DUVAL ELEM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
"75",421,75,241,1403,17.1774768353528,2010,"high","high","pub",2,34.3661971830986,52.69,"EASTSIDE HIGH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"76",955,76,29,102,28.4313725490196,2010,"multi","2-8","priv",NA,48.8888888888889,51.4,"EINSTEIN MONT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",956,77,19,88,21.5909090909091,2010,"elem","elem","priv",NA,23.0769230769231,12.09,"EXPRESSIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",-6,78,27,70,38.5714285714286,2010,"elem","elem","priv",NA,58.8235294117647,NA,"FOREST GROVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",481,79,325,820,39.6341463414634,2010,"mid","mid","pub",3,38.7951807228916,42.25,"FT. CLARKE MIDDLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"80",151,80,334,1791,18.6487995533222,2010,"high","high","pub",3,30.4932735426009,42.3,"GAINESVILLE HIGH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"81",958,81,13,66,19.6969696969697,2010,"elem","elem","priv",NA,88.8888888888889,82.35,"GENESIS PREP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",331,82,229,411,55.7177615571776,2010,"elem","elem","pub",1,36.7892976588629,45.53,"GLEN SPRINGS ELEM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"83",-7,83,133,225,59.1111111111111,2010,"prek","prek","priv",NA,9.52380952380952,NA,"G'VILLE COUNTRY DAY PRE-K 75TH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",201,84,74,345,21.4492753623188,2010,"high","high","pub",3,75,79.53,"HAWTHORNE JR./SR. HIGH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
